"terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","MAPE","MAPE5"
"CPUE","m1b",40.017,24.002,66.716,0.232,0.0648393676954895,60.067
"CPUE + Chatham_SST_AMJ","m5b",33.541,20.68,54.4,0.367,0.06050746708299,40.086
"CPUE + Chatham_SST_AMJJ","m6b",36.264,22.235,59.145,0.324,0.061794458730961,44.107
"CPUE + Chatham_SST_May","m3b",34.204,21.269,55.006,0.378,0.0617687159837751,35.009
"CPUE + Chatham_SST_MJJ","m4b",38.971,23.884,63.587,0.306,0.0627539380197475,45.445
"CPUE + Icy_Strait_SST_AMJ","m9b",35.235,22.018,56.386,0.379,0.0593290072698535,39.646
"CPUE + Icy_Strait_SST_AMJJ","m10b",37.196,23.105,59.879,0.35,0.0607345238009715,43.414
"CPUE + Icy_Strait_SST_May","m7b",34.997,21.582,56.751,0.351,0.0616984285201439,40.066
"CPUE + Icy_Strait_SST_MJJ","m8b",39.817,24.635,64.353,0.331,0.0620916549498646,45.149
"CPUE + ISTI20_MJJ","m2b",30.856,18.718,50.867,0.373,0.059289467726152,36.548
"CPUE + NSEAK_SST_AMJ","m13b",34.06,20.874,55.574,0.348,0.0598558899268844,36.392
"CPUE + NSEAK_SST_AMJJ","m14b",36.308,22.161,59.484,0.313,0.0615550818267727,40.996
"CPUE + NSEAK_SST_May","m11b",34.846,21.651,56.084,0.369,0.0615946497253537,32.038
"CPUE + NSEAK_SST_MJJ","m12b",38.502,23.538,62.98,0.301,0.0624151548836511,41.573
"CPUE + SEAK_SST_AMJ","m17b",34.193,21.003,55.667,0.351,0.0601493693092449,36.057
"CPUE + SEAK_SST_AMJJ","m18b",36.097,22.166,58.785,0.33,0.0614016748677409,39.442
"CPUE + SEAK_SST_May","m15b",34.564,21.61,55.282,0.387,0.060465607087445,30.881
"CPUE + SEAK_SST_MJJ","m16b",38.346,23.652,62.17,0.326,0.0619842190470839,39.596
