"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"vessel x adj_raw_pink_log + odd_factor x adj_raw_pink_log",3.69224970350861,3.02438150249914,4.36011790451808,0.276904013619117,17,0.417383274116422,0.730916139067629,0.620116902213124,35.6178468031088,47.6178468031088,46.5877292269226,0.000722576973710032,0.417383274116422,0.0864023869434049,0.14182818259715,0.0989790751531715
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor x adj_raw_pink_log",3.43110996075516,2.8242568374016,4.03796308410872,0.266430334393622,16,0.36756952341402,0.803588180350327,0.705382270525491,29.7476091513469,45.4618948656326,41.9363674000289,0.000205860469376603,0.36756952341402,0.0709679236083758,0.123304680569559,0.0797777488304287
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor x adj_raw_pink_log",3.59468205540576,2.98462183708527,4.20474227372625,0.255081088613623,16,0.378431215994221,0.791808720033672,0.687713080050508,31.2037015691432,46.9179872834289,43.3924598178252,0.000315799880787283,0.378431215994221,0.0682607857426962,0.118368152199335,0.0869976475839851
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor x adj_raw_pink_log",3.75463071463962,3.13073322350056,4.37852820577868,0.259440601626432,16,0.387972231293221,0.78117853875899,0.671767808138485,32.4486735569262,48.1629592712119,44.6374318056082,0.000454305256445147,0.387972231293221,0.0760597295271785,0.130678196893755,0.0959504533243955
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor x adj_raw_pink_log",3.53105777214492,2.92638183125566,4.13573371303417,0.256723725217674,16,0.37243694752846,0.798351894635448,0.697527841953171,30.4053729010229,46.1196586153087,42.5941311497049,0.000249842485550063,0.37243694752846,0.0711077488490494,0.124501483958372,0.0907621746939213
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor x adj_raw_pink_log",3.63715618225717,3.02560153729835,4.248710827216,0.253850983566593,16,0.380601995804867,0.789413390983533,0.6841200864753,31.4896950797477,47.2039807940334,43.6784533284297,0.000343378854754091,0.380601995804867,0.0746583117098674,0.129219760126363,0.0927963282157768
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor x adj_raw_pink_log",3.5980023159298,2.981177309669,4.21482732219059,0.257936634429782,16,0.382609318447303,0.787186235116256,0.680779352674383,31.7527057602073,47.466991474493,43.9414640088893,0.000370826803527197,0.382609318447303,0.0695095006732755,0.12190018937972,0.0907529679757231
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor x adj_raw_pink_log",3.75749278800342,3.1375746998579,4.37741087614894,0.257835892676666,16,0.385464135786898,0.783998591870145,0.675997887805217,32.1243929302829,47.8386786445686,44.3131511789649,0.000413331844063188,0.385464135786898,0.0754374157112013,0.130778999609299,0.0992687335647101
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor x adj_raw_pink_log",3.57962444064179,2.97100980665832,4.18823907462526,0.255289733173811,16,0.376985164409258,0.793396750435214,0.690095125652821,31.0122768941229,46.7265626084086,43.2010351428049,0.0002985711236524,0.376985164409258,0.0734015765073407,0.130791237845061,0.0951210916603284
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor x adj_raw_pink_log",3.65708502499285,3.04558291737073,4.26858713261497,0.253278268342568,16,0.380936163532644,0.789043439473488,0.683565159210232,31.5335757106953,47.247861424981,43.7223339593773,0.000347815074408478,0.380936163532644,0.0744568971517183,0.130471141664361,0.0953286008822668
