"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","wMAPE"
"CPUE +odd_even_factor",3.1268817078575,2.53288907290746,3.72087434280753,0.101416966400937,25,0.43969946821893,0.565021196477643,0.547622044336749,36.1748868228183,37.2183650836878,40.0623974208313,6.19140970284645e-06,0.43969946821893,0.106940315257991,0.161609885747118
"CPUE + ISTI20_MJJ+odd_even_factor",3.08598624128434,2.59761516984893,3.57435731271974,0.167698301248892,23,0.329959205805279,0.774646379306448,0.745252428781203,22.4189716905367,25.2761145476796,28.8981560205584,1.27067484374202e-07,0.329959205805279,0.0743407130780869,0.100007028531566
"CPUE + Chatham_SST_May+odd_even_factor",3.27247832982754,2.83018303842829,3.71477362122678,0.131262758463867,23,0.308440167037787,0.803081780533868,0.777396795386111,18.7771495081448,21.6342923652876,25.2563338381664,2.73802559310625e-08,0.308440167037787,0.0739334499820143,0.117200867818434
"CPUE + Chatham_SST_MJJ+odd_even_factor",3.43037465164757,2.9190484269899,3.94170087630524,0.145107419649311,23,0.359333924564936,0.732735988704274,0.697875465491789,27.0242580164351,29.881400873578,33.5034423464568,8.81184324934032e-07,0.359333924564936,0.0880459992230746,0.130824440690014
"CPUE + Chatham_SST_AMJ+odd_even_factor",3.2259121899617,2.77266929614469,3.6791550837787,0.138360289162988,23,0.314408973650568,0.795386677863778,0.768697983672097,19.8121526998255,22.6692955569683,26.2913370298471,4.23645255777973e-08,0.314408973650568,0.075828383812837,0.107123721794597
"CPUE + Chatham_SST_AMJJ+odd_even_factor",3.32846113652764,2.84210945390618,3.81481281914911,0.142114665963143,23,0.340100898084018,0.760580456482199,0.729351820371182,24.0537301394426,26.9108729965854,30.5329144694642,2.52842145119392e-07,0.340100898084018,0.0823737683465631,0.119121821441702
"CPUE + Icy_Strait_SST_May+odd_even_factor",3.28862627277796,2.84042098569404,3.73683155986188,0.132198615834985,23,0.312908467431584,0.797335037854904,0.770900477575109,19.5538225943679,22.4109654515108,26.0330069243895,3.79923838408176e-08,0.312908467431584,0.0727860809777246,0.122597655300309
"CPUE + Icy_Strait_SST_MJJ+odd_even_factor",3.45660844146398,2.94893844614566,3.9642784367823,0.143943072524076,23,0.356815675606852,0.736468889579422,0.702095266481086,26.6444881912779,29.5016310484208,33.1236725212995,7.51287119756809e-07,0.356815675606852,0.0876477869267894,0.124952665598716
"CPUE + Icy_Strait_SST_AMJ+odd_even_factor",3.29391254068736,2.83828972116909,3.74953536020564,0.134289337757823,23,0.31812791769098,0.790517568330942,0.763193772895848,20.4471363504548,23.3042792075977,26.9263206804764,5.53677879966536e-08,0.31812791769098,0.0745712284460501,0.110274287975552
"CPUE + Icy_Strait_SST_AMJJ+odd_even_factor",3.3659368854616,2.87852156753114,3.85335220339206,0.140269778214511,23,0.341737477957177,0.758270718650208,0.726740812387192,24.3129572113469,27.1701000684898,30.7921415413686,2.81972867096383e-07,0.341737477957177,0.0833019452590858,0.115723732456874
"CPUE + NSEAK_SST_May+odd_even_factor",3.2922210173812,2.84664825955391,3.73779377520848,0.131132878375074,23,0.311192656092487,0.799551541954609,0.77340609090521,19.256902616955,22.1140454740978,25.7360869469766,3.35210164638127e-08,0.311192656092487,0.0750419591912976,0.116796585512245
"CPUE + NSEAK_SST_MJJ+odd_even_factor",3.41192793016321,2.90283339290339,3.92102246742302,0.144887445662282,23,0.357598411156569,0.735311421270492,0.700786824044904,26.762816587598,29.6199594447409,33.2420009176197,7.89565474312623e-07,0.357598411156569,0.0869959908356656,0.128474387341871
"CPUE + NSEAK_SST_AMJ+odd_even_factor",3.24467182189856,2.78569672168315,3.70364692211397,0.138924458493216,23,0.318904481875611,0.789493608502311,0.762036253089569,20.5787920928338,23.4359349499767,27.0579764228554,5.85270603581978e-08,0.318904481875611,0.0769918956848375,0.110994718319036
"CPUE + NSEAK_SST_AMJJ+odd_even_factor",3.32681504628252,2.83633842513261,3.81729166743243,0.143591737216531,23,0.342871750221087,0.756663392159937,0.724923834615582,24.4918936199591,27.349036477102,30.9710779499808,3.04013367017581e-07,0.342871750221087,0.0827370028514071,0.12052374546618
"CPUE + SEAK_SST_May+odd_even_factor",3.29041919041676,2.82929806320253,3.75154031763098,0.136325363272926,23,0.321791287865325,0.785665242109032,0.757708534558036,21.0654148730824,23.9225577302253,27.5445992031041,7.18487770251829e-08,0.321791287865325,0.0785578348870059,0.122173493504145
"CPUE + SEAK_SST_MJJ+odd_even_factor",3.41784971931681,2.90554401005128,3.93015542858234,0.145653401811437,23,0.359913908370304,0.731872536166844,0.696899388710345,27.1113465854763,29.9684894426192,33.590530915498,9.14001689956438e-07,0.359913908370304,0.0873437943230251,0.13000659113449
"CPUE + SEAK_SST_AMJ+odd_even_factor",3.25897537886513,2.78764502312474,3.73030573460552,0.142192226245464,23,0.327694345132449,0.777729444448661,0.748737632855008,22.0470343394231,24.904177196566,28.5262186694447,1.08645288802434e-07,0.327694345132449,0.0799504159676428,0.116030106367259
"CPUE + SEAK_SST_AMJJ+odd_even_factor",3.33505872136673,2.83837918718607,3.8317382555474,0.145073753215716,23,0.34734761317872,0.75026887200529,0.717695246614676,25.1922506383176,28.0493934954605,31.6714349683393,4.08120709315274e-07,0.34734761317872,0.0843412573970635,0.123640681356221
