"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"CPUE*as.factor(odd_even_factor)",3.63077966893244,3.10631477521337,4.15524456265151,0.162629813957874,23,0.362691895578473,0.727717491201475,0.692202381358189,27.5265440484775,30.3836869056204,34.0057283784992,1.08803504204876e-06,0.362691895578473,0.0860803156878599,0.100631017619233,0.125263481250672
"CPUE*as.factor(odd_even_factor) + ISTI20_MJJ",3.26816317880136,2.85321824176302,3.68310811583969,0.150513752695263,22,0.275641111974085,0.849572626653395,0.822222195135831,13.5058304208333,17.7058304208333,21.2808516168593,9.23291074633878e-09,0.275641111974085,0.0613186735087998,0.0766600204012666,0.0941992842314406
"CPUE*as.factor(odd_even_factor) + Chatham_SST_May",3.43412150318717,3.0338524962205,3.83439051015384,0.130778526406542,22,0.273268793789641,0.852150804615651,0.825269132727587,13.0390653716652,17.2390653716652,20.8140865676912,7.6549186686026e-09,0.273268793789641,0.0645762225521692,0.0791808614215676,0.113435903885179
"CPUE*as.factor(odd_even_factor) + Chatham_SST_MJJ",3.60141189910961,3.14115565063415,4.06166814758507,0.142843284001132,22,0.317718943638593,0.80014035779539,0.763802241030916,21.1774736013709,25.3774736013709,28.9524947973969,1.99191431386247e-07,0.317718943638593,0.0760406179700019,0.0939869187620399,0.125060766552421
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJ",3.39285535356208,2.97984475154217,3.80586595558199,0.138591169741441,22,0.280191828127467,0.844564642868743,0.816303668844878,14.390067915291,18.590067915291,22.165089111317,1.31665578639921e-08,0.280191828127467,0.0648556126591881,0.0790272340575686,0.104326132752287
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJJ",3.49597717328144,3.05239700961397,3.9395573369489,0.142403144923393,22,0.304033985792988,0.816986489427899,0.783711305687517,18.7999790751544,22.9999790751544,26.5750002711804,7.70447865667577e-08,0.304033985792988,0.071745912052911,0.0882167841081752,0.114917544518054
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_May",3.4539363700871,3.05385334501803,3.85401939515617,0.129484955202183,22,0.273728394850628,0.851653061797305,0.824680891214997,13.1298097617614,17.3298097617614,20.9048309577874,7.93902448010091e-09,0.273728394850628,0.0635079396502195,0.078379529026807,0.118023735560912
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_MJJ",3.63440163280456,3.18664138632408,4.08216187928504,0.138662088382604,22,0.309228884661792,0.810678911067252,0.776256894897662,19.7148599933807,23.9148599933807,27.4898811894066,1.11068201690029e-07,0.309228884661792,0.0740057793603564,0.0913688596531343,0.118989778848647
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJ",3.46009181829578,3.05201822637287,3.8681654102187,0.131957928337444,22,0.279248862503992,0.845609095618476,0.817538022094562,14.2080282719715,18.4080282719715,21.9830494679974,1.22390504178629e-08,0.279248862503992,0.0655158966430512,0.0803455705533431,0.106613271291678
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJJ",3.53752514595618,3.10342308922658,3.97162720268578,0.136674340379751,22,0.298780963206182,0.823255978758097,0.791120702168661,17.8588265685178,22.0588265685178,25.6338477645438,5.28700056947405e-08,0.298780963206182,0.0709095072864899,0.086897028314428,0.110904813149419
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_May",3.45428837179328,3.05277194150348,3.85580480208307,0.129973393208941,22,0.274697498697965,0.850600791879578,0.823437299494047,13.3206529106378,17.5206529106378,21.0956741066637,8.57134190472865e-09,0.274697498697965,0.0640982955510326,0.0784020668678022,0.11291626408119
