"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1a","(Intercept)",2.03897552,0.244,8.349,0
"m1a","CPUE",0.55267241,0.125,4.432,0
"m1a","as.factor(odd_even_factor)odd",1.31062295,0.375,3.495,0.002
"m1a","CPUE:as.factor(odd_even_factor)odd",-0.38330338,0.15,-2.555,0.018
"m2a","(Intercept)",6.2634032,1.018,6.154,0
"m2a","CPUE",0.6596179,0.098,6.724,0
"m2a","as.factor(odd_even_factor)odd",1.04676629,0.292,3.587,0.002
"m2a","ISTI20_MJJ",-0.48291333,0.114,-4.222,0
"m2a","CPUE:as.factor(odd_even_factor)odd",-0.3774754,0.114,-3.31,0.003
"m3a","(Intercept)",4.83710734,0.676,7.158,0
"m3a","CPUE",0.5620334,0.094,5.98,0
"m3a","as.factor(odd_even_factor)odd",1.08501998,0.287,3.775,0.001
"m3a","Chatham_SST_May",-0.37452573,0.087,-4.303,0
"m3a","CPUE:as.factor(odd_even_factor)odd",-0.30899604,0.114,-2.702,0.013
"m4a","(Intercept)",5.1887989,1.136,4.568,0
"m4a","CPUE",0.56332856,0.109,5.154,0
"m4a","as.factor(odd_even_factor)odd",1.19871674,0.331,3.622,0.002
"m4a","Chatham_SST_MJJ",-0.32185444,0.114,-2.823,0.01
"m4a","CPUE:as.factor(odd_even_factor)odd",-0.35878148,0.132,-2.724,0.012
"m5a","(Intercept)",5.34714804,0.835,6.403,0
"m5a","CPUE",0.56088835,0.096,5.821,0
"m5a","as.factor(odd_even_factor)odd",1.05788793,0.296,3.57,0.002
"m5a","Chatham_SST_AMJ",-0.43328536,0.107,-4.067,0.001
"m5a","CPUE:as.factor(odd_even_factor)odd",-0.30951548,0.117,-2.638,0.015
"m6a","(Intercept)",5.39683737,1.045,5.163,0
"m6a","CPUE",0.55707743,0.105,5.329,0
"m6a","as.factor(odd_even_factor)odd",1.1171499,0.32,3.492,0.002
"m6a","Chatham_SST_AMJJ",-0.3848111,0.117,-3.276,0.003
"m6a","CPUE:as.factor(odd_even_factor)odd",-0.33020242,0.127,-2.604,0.016
"m7a","(Intercept)",4.57516459,0.62,7.384,0
"m7a","CPUE",0.57862549,0.094,6.135,0
"m7a","as.factor(odd_even_factor)odd",1.1437619,0.286,4.003,0.001
"m7a","Icy_Strait_SST_May",-0.36288896,0.085,-4.287,0
"m7a","CPUE:as.factor(odd_even_factor)odd",-0.32378157,0.114,-2.838,0.01
"m8a","(Intercept)",5.11148379,1.011,5.055,0
"m8a","CPUE",0.58155248,0.107,5.449,0
"m8a","as.factor(odd_even_factor)odd",1.24889191,0.32,3.898,0.001
"m8a","Icy_Strait_SST_MJJ",-0.31111031,0.1,-3.105,0.005
"m8a","CPUE:as.factor(odd_even_factor)odd",-0.37570806,0.128,-2.937,0.008
"m9a","(Intercept)",5.15624049,0.783,6.581,0
"m9a","CPUE",0.57039085,0.096,5.935,0
"m9a","as.factor(odd_even_factor)odd",1.15006125,0.291,3.947,0.001
"m9a","Icy_Strait_SST_AMJ",-0.42531979,0.104,-4.099,0
"m9a","CPUE:as.factor(odd_even_factor)odd",-0.3260156,0.116,-2.802,0.01
"m10a","(Intercept)",5.21641995,0.943,5.531,0
"m10a","CPUE",0.57612622,0.103,5.596,0
"m10a","as.factor(odd_even_factor)odd",1.19289023,0.311,3.838,0.001
"m10a","Icy_Strait_SST_AMJJ",-0.36863643,0.107,-3.448,0.002
"m10a","CPUE:as.factor(odd_even_factor)odd",-0.35243826,0.124,-2.844,0.009
"m11a","(Intercept)",4.60354699,0.631,7.3,0
"m11a","CPUE",0.53889488,0.095,5.702,0
"m11a","as.factor(odd_even_factor)odd",1.13151667,0.287,3.94,0.001
"m11a","NSEAK_SST_May",-0.33970035,0.08,-4.254,0
"m11a","CPUE:as.factor(odd_even_factor)odd",-0.3146789,0.115,-2.742,0.012
"m12a","(Intercept)",4.96863093,1.049,4.737,0
"m12a","CPUE",0.53953972,0.109,4.948,0
"m12a","as.factor(odd_even_factor)odd",1.22174501,0.329,3.712,0.001
"m12a","NSEAK_SST_MJJ",-0.29288963,0.103,-2.852,0.009
"m12a","CPUE:as.factor(odd_even_factor)odd",-0.35504467,0.131,-2.701,0.013
"m13a","(Intercept)",5.08792243,0.811,6.271,0
"m13a","CPUE",0.53001512,0.099,5.379,0
"m13a","as.factor(odd_even_factor)odd",1.10193751,0.301,3.664,0.001
"m13a","NSEAK_SST_AMJ",-0.39772245,0.103,-3.869,0.001
"m13a","CPUE:as.factor(odd_even_factor)odd",-0.3076653,0.12,-2.565,0.018
"m14a","(Intercept)",5.12244127,0.995,5.148,0
"m14a","CPUE",0.53312562,0.106,5.037,0
"m14a","as.factor(odd_even_factor)odd",1.15719598,0.321,3.6,0.002
"m14a","NSEAK_SST_AMJJ",-0.34973714,0.11,-3.168,0.004
"m14a","CPUE:as.factor(odd_even_factor)odd",-0.33018396,0.128,-2.575,0.017
"m15a","(Intercept)",4.58987412,0.68,6.752,0
"m15a","CPUE",0.5405564,0.098,5.517,0
"m15a","as.factor(odd_even_factor)odd",1.15306689,0.297,3.879,0.001
"m15a","SEAK_SST_May",-0.31322519,0.08,-3.911,0.001
"m15a","CPUE:as.factor(odd_even_factor)odd",-0.32241636,0.119,-2.713,0.013
"m16a","(Intercept)",4.83218035,1.051,4.598,0
"m16a","CPUE",0.5275943,0.111,4.765,0
"m16a","as.factor(odd_even_factor)odd",1.22461483,0.333,3.673,0.001
"m16a","SEAK_SST_MJJ",-0.26352159,0.097,-2.716,0.013
"m16a","CPUE:as.factor(odd_even_factor)odd",-0.35082994,0.133,-2.632,0.015
"m17a","(Intercept)",5.01150082,0.853,5.878,0
"m17a","CPUE",0.52872702,0.102,5.208,0
"m17a","as.factor(odd_even_factor)odd",1.1232744,0.309,3.634,0.001
"m17a","SEAK_SST_AMJ",-0.35980565,0.1,-3.585,0.002
"m17a","CPUE:as.factor(odd_even_factor)odd",-0.3134433,0.123,-2.539,0.019
"m18a","(Intercept)",4.98745227,1.012,4.93,0
"m18a","CPUE",0.52265773,0.108,4.835,0
"m18a","as.factor(odd_even_factor)odd",1.16940952,0.327,3.575,0.002
"m18a","SEAK_SST_AMJJ",-0.31281679,0.105,-2.98,0.007
"m18a","CPUE:as.factor(odd_even_factor)odd",-0.32879223,0.131,-2.514,0.02
"m19a","(Intercept)",2.59468127,0.225,11.557,0
"m19a","CPUE:as.factor(odd_even_factor)even",0.29222381,0.121,2.413,0.024
"m19a","CPUE:as.factor(odd_even_factor)odd",0.37633309,0.071,5.289,0
"m20a","(Intercept)",7.45574103,1.184,6.295,0
"m20a","ISTI20_MJJ",-0.57080628,0.138,-4.149,0
"m20a","CPUE:as.factor(odd_even_factor)even",0.48061116,0.104,4.622,0
"m20a","CPUE:as.factor(odd_even_factor)odd",0.46038213,0.059,7.858,0
"m21a","(Intercept)",5.72968699,0.795,7.209,0
"m21a","Chatham_SST_May",-0.43446838,0.107,-4.044,0.001
"m21a","CPUE:as.factor(odd_even_factor)even",0.35509048,0.096,3.705,0.001
