"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1c","(Intercept)",2.51496828,0.175,14.361,0
"m1c","CPUE",0.28786566,0.077,3.743,0.001
"m1c","odd_even_factorodd",0.45638512,0.188,2.422,0.023
"m2c","(Intercept)",6.77219395,1.204,5.623,0
"m2c","CPUE",0.39989092,0.07,5.673,0
"m2c","ISTI20_MJJ",-0.4874978,0.137,-3.56,0.002
"m2c","odd_even_factorodd",0.20313524,0.17,1.194,0.245
"m3c","(Intercept)",5.47742253,0.714,7.668,0
"m3c","CPUE",0.3543181,0.061,5.806,0
"m3c","Chatham_SST_May",-0.41004232,0.097,-4.222,0
"m3c","odd_even_factorodd",0.39069517,0.145,2.689,0.013
"m4c","(Intercept)",5.83276828,1.257,4.642,0
"m4c","CPUE",0.31721837,0.07,4.559,0
"m4c","Chatham_SST_MJJ",-0.34232813,0.129,-2.661,0.014
"m4c","odd_even_factorodd",0.39548678,0.17,2.328,0.029
"m5c","(Intercept)",6.05424346,0.887,6.822,0
"m5c","CPUE",0.35299741,0.062,5.672,0
"m5c","Chatham_SST_AMJ",-0.47675932,0.118,-4.036,0.001
"m5c","odd_even_factorodd",0.35923674,0.149,2.407,0.024
"m6c","(Intercept)",6.14138861,1.125,5.461,0
"m6c","CPUE",0.33313096,0.066,5.01,0
"m6c","Chatham_SST_AMJJ",-0.42391272,0.13,-3.253,0.004
"m6c","odd_even_factorodd",0.37361972,0.161,2.316,0.03
"m7c","(Intercept)",5.17562692,0.666,7.774,0
"m7c","CPUE",0.36034376,0.062,5.775,0
"m7c","Icy_Strait_SST_May",-0.39212684,0.096,-4.083,0
"m7c","odd_even_factorodd",0.41941936,0.147,2.856,0.009
"m8c","(Intercept)",5.63343564,1.149,4.904,0
"m8c","CPUE",0.32261013,0.069,4.65,0
"m8c","Icy_Strait_SST_MJJ",-0.31673626,0.116,-2.74,0.012
"m8c","odd_even_factorodd",0.41077096,0.168,2.446,0.023
"m9c","(Intercept)",5.81122655,0.852,6.822,0
"m9c","CPUE",0.3498665,0.063,5.568,0
"m9c","Icy_Strait_SST_AMJ",-0.46024518,0.117,-3.922,0.001
"m9c","odd_even_factorodd",0.42079546,0.149,2.819,0.01
"m10c","(Intercept)",5.84107833,1.049,5.568,0
"m10c","CPUE",0.3353101,0.067,5.005,0
"m10c","Icy_Strait_SST_AMJJ",-0.39059579,0.122,-3.203,0.004
"m10c","odd_even_factorodd",0.40452337,0.161,2.514,0.019
"m11c","(Intercept)",5.21893954,0.668,7.817,0
"m11c","CPUE",0.32454455,0.06,5.396,0
"m11c","NSEAK_SST_May",-0.37047576,0.09,-4.136,0
"m11c","odd_even_factorodd",0.42784603,0.146,2.932,0.007
"m12c","(Intercept)",5.61611684,1.153,4.873,0
"m12c","CPUE",0.29471167,0.068,4.308,0
"m12c","NSEAK_SST_MJJ",-0.31379319,0.116,-2.716,0.012
"m12c","odd_even_factorodd",0.42863664,0.168,2.554,0.018
"m13c","(Intercept)",5.78934693,0.851,6.799,0
"m13c","CPUE",0.32066199,0.062,5.21,0
"m13c","NSEAK_SST_AMJ",-0.44070588,0.113,-3.898,0.001
"m13c","odd_even_factorodd",0.41193271,0.15,2.75,0.011
"m14c","(Intercept)",5.85319003,1.064,5.501,0
"m14c","CPUE",0.30683957,0.066,4.662,0
"m14c","NSEAK_SST_AMJJ",-0.3869096,0.122,-3.168,0.004
"m14c","odd_even_factorodd",0.41761648,0.161,2.593,0.016
"m15c","(Intercept)",5.21515898,0.723,7.218,0
"m15c","CPUE",0.32053476,0.062,5.161,0
"m15c","SEAK_SST_May",-0.34168457,0.09,-3.809,0.001
"m15c","odd_even_factorodd",0.43253677,0.151,2.867,0.009
"m16c","(Intercept)",5.50717174,1.143,4.818,0
"m16c","CPUE",0.28499213,0.069,4.141,0
"m16c","SEAK_SST_MJJ",-0.28643115,0.108,-2.643,0.015
"m16c","odd_even_factorodd",0.44156244,0.169,2.618,0.015
"m17c","(Intercept)",5.72351484,0.896,6.391,0
"m17c","CPUE",0.31490335,0.063,4.992,0
"m17c","SEAK_SST_AMJ",-0.40005005,0.11,-3.629,0.001
"m17c","odd_even_factorodd",0.42118737,0.154,2.738,0.012
"m18c","(Intercept)",5.73579315,1.073,5.346,0
"m18c","CPUE",0.29641258,0.066,4.46,0
"m18c","SEAK_SST_AMJJ",-0.34974095,0.115,-3.032,0.006
"m18c","odd_even_factorodd",0.43432764,0.163,2.667,0.014
