"","MAPE5"
"CPUE +odd_even_factor",50.1112785529045
"CPUE + ISTI20_MJJ+odd_even_factor",30.8538335974475
"CPUE + Chatham_SST_May+odd_even_factor",35.8579129554507
"CPUE + Chatham_SST_MJJ+odd_even_factor",40.5050563844541
"CPUE + Chatham_SST_AMJ+odd_even_factor",33.5224320792225
"CPUE + Chatham_SST_AMJJ+odd_even_factor",36.5189675872528
"CPUE + Icy_Strait_SST_May+odd_even_factor",37.3973061041436
"CPUE + Icy_Strait_SST_MJJ+odd_even_factor",38.7559912938183
"CPUE + Icy_Strait_SST_AMJ+odd_even_factor",33.8584111335645
"CPUE + Icy_Strait_SST_AMJJ+odd_even_factor",35.3467253422664
"CPUE + NSEAK_SST_May+odd_even_factor",34.945618415554
"CPUE + NSEAK_SST_MJJ+odd_even_factor",38.2294653595096
"CPUE + NSEAK_SST_AMJ+odd_even_factor",33.5471598184488
"CPUE + NSEAK_SST_AMJJ+odd_even_factor",35.6556693793347
"CPUE + SEAK_SST_May+odd_even_factor",36.6217002455319
"CPUE + SEAK_SST_MJJ+odd_even_factor",39.0523524642931
"CPUE + SEAK_SST_AMJ+odd_even_factor",34.9993333470454
"CPUE + SEAK_SST_AMJJ+odd_even_factor",36.8617451985145
