"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",3.29659602729362,2.73583607232112,3.85735598226612,0.0898050998086225,21,0.414170203899164,0.649514121330536,0.632824317584371,28.630821249424,29.8939791441609,32.0373038972115,0.113076837671989,0.0989744830069846
"CPUE+ISTI",3.38557191720001,3.00034028921963,3.77080354518038,0.0640203051892954,20,0.283528108198211,0.843571542743398,0.827928697017738,12.076223225096,14.2984454473182,16.6182000888126,0.0748021950366004,0.0637368410596819
