"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.263,0.207,10.945,0
"m1","CPUE",0.455,0.072,6.314,0
"m2","(Intercept)",6.776,0.971,6.98,0
"m2","CPUE",0.515,0.052,9.814,0
"m2","ISTI",-0.513,0.109,-4.703,0
"m3","(Intercept)",4.021,2.571,1.564,0.134
"m3","CPUE",1.6,0.94,1.702,0.105
"m3","ISTI",-0.212,0.282,-0.754,0.46
" m3","CPUE:ISTI",-0.118,0.102,-1.156,0.262
