"Year","fitted_values","year_minus","type","model_name"
1998,28.87,8,"estimate","m2"
1999,111.62,8,"estimate","m2"
2000,27.51,8,"estimate","m2"
2001,64.74,8,"estimate","m2"
2002,38.83,8,"estimate","m2"
2003,55.7,8,"estimate","m2"
2004,37.21,8,"estimate","m2"
2005,53.16,8,"estimate","m2"
2006,15.07,8,"estimate","m2"
2007,38.95,8,"estimate","m2"
2008,18.89,8,"estimate","m2"
2009,52.1,8,"estimate","m2"
2010,25.93,8,"estimate","m2"
2011,57.86,8,"estimate","m2"
2012,25.25,8,"estimate","m2"
2013,67.91,8,"estimate","m2"
2014,30.68,8,"estimate","m2"
2015,56.36,8,"estimate","m2"
