"Year","fitted_values","year_minus","type","model_name"
1998,24.89,3,"estimate","m19"
1999,112.45,3,"estimate","m19"
2000,23.62,3,"estimate","m19"
2001,66.65,3,"estimate","m19"
2002,38.29,3,"estimate","m19"
2003,53.7,3,"estimate","m19"
2004,38.82,3,"estimate","m19"
2005,57.38,3,"estimate","m19"
2006,12.37,3,"estimate","m19"
2007,42.08,3,"estimate","m19"
2008,17.12,3,"estimate","m19"
2009,55.49,3,"estimate","m19"
2010,27.56,3,"estimate","m19"
2011,59.25,3,"estimate","m19"
2012,22.21,3,"estimate","m19"
2013,68.24,3,"estimate","m19"
2014,26.88,3,"estimate","m19"
2015,55.66,3,"estimate","m19"
2016,21.48,3,"estimate","m19"
2017,40.33,3,"estimate","m19"
2018,13.29,3,"estimate","m19"
2019,17.91,3,"estimate","m19"
2020,9.55,3,"estimate","m19"
