"Year","fitted_values","year_minus","type","model_name"
1998,31.56,7,"estimate","m19"
1999,102.95,7,"estimate","m19"
2000,24.74,7,"estimate","m19"
2001,57.68,7,"estimate","m19"
2002,39.7,7,"estimate","m19"
2003,50.76,7,"estimate","m19"
2004,37.83,7,"estimate","m19"
2005,55,7,"estimate","m19"
2006,11.91,7,"estimate","m19"
2007,39.81,7,"estimate","m19"
2008,17.79,7,"estimate","m19"
2009,56.6,7,"estimate","m19"
2010,29.32,7,"estimate","m19"
2011,58.18,7,"estimate","m19"
2012,24.27,7,"estimate","m19"
2013,71.45,7,"estimate","m19"
2014,29.87,7,"estimate","m19"
2015,56.8,7,"estimate","m19"
2016,25.61,7,"estimate","m19"
