"Year","fitted_values","year_minus","type","model_name"
1998,30.1,6,"estimate","m19"
1999,98.66,6,"estimate","m19"
2000,25.22,6,"estimate","m19"
2001,58.41,6,"estimate","m19"
2002,39.19,6,"estimate","m19"
2003,52.2,6,"estimate","m19"
2004,37.31,6,"estimate","m19"
2005,53.69,6,"estimate","m19"
2006,11.7,6,"estimate","m19"
2007,40.37,6,"estimate","m19"
2008,18.07,6,"estimate","m19"
2009,58.21,6,"estimate","m19"
2010,28.75,6,"estimate","m19"
2011,56.38,6,"estimate","m19"
2012,24.51,6,"estimate","m19"
2013,70.8,6,"estimate","m19"
2014,29.65,6,"estimate","m19"
2015,55.31,6,"estimate","m19"
2016,24.46,6,"estimate","m19"
2017,41.72,6,"estimate","m19"
