"Year","fitted_values","year_minus","type","model_name"
1998,32.95,2,"estimate","m1"
1999,127.43,2,"estimate","m1"
2000,22.55,2,"estimate","m1"
2001,56.45,2,"estimate","m1"
2002,38.97,2,"estimate","m1"
2003,37.49,2,"estimate","m1"
2004,42.66,2,"estimate","m1"
2005,60.74,2,"estimate","m1"
2006,27.26,2,"estimate","m1"
2007,34.4,2,"estimate","m1"
2008,18.74,2,"estimate","m1"
2009,30.75,2,"estimate","m1"
2010,30.89,2,"estimate","m1"
2011,66.49,2,"estimate","m1"
2012,21.69,2,"estimate","m1"
2013,51.57,2,"estimate","m1"
2014,28.46,2,"estimate","m1"
2015,58.18,2,"estimate","m1"
2016,32.52,2,"estimate","m1"
2017,73.73,2,"estimate","m1"
2018,13.16,2,"estimate","m1"
2019,18.74,2,"estimate","m1"
2020,18.5,2,"estimate","m1"
2021,28.55,2,"estimate","m1"
