"Year","fitted_values","year_minus","type","model_name"
1998,34.66,0,"estimate","m1"
1999,120.87,0,"estimate","m1"
2000,24.42,0,"estimate","m1"
2001,56.99,0,"estimate","m1"
2002,40.47,0,"estimate","m1"
2003,39.05,0,"estimate","m1"
2004,44,0,"estimate","m1"
2005,60.97,0,"estimate","m1"
2006,29.09,0,"estimate","m1"
2007,36.06,0,"estimate","m1"
2008,20.58,0,"estimate","m1"
2009,32.52,0,"estimate","m1"
2010,32.65,0,"estimate","m1"
2011,66.29,0,"estimate","m1"
2012,23.56,0,"estimate","m1"
2013,52.42,0,"estimate","m1"
2014,30.27,0,"estimate","m1"
2015,58.6,0,"estimate","m1"
2016,34.25,0,"estimate","m1"
2017,72.93,0,"estimate","m1"
2018,14.85,0,"estimate","m1"
2019,20.58,0,"estimate","m1"
2020,20.34,0,"estimate","m1"
2021,30.36,0,"estimate","m1"
2022,18.3,0,"estimate","m1"
2023,22.99,0,"estimate","m1"
