"Year","fitted_values","year_minus","type","model_name"
1998,26.83,5,"estimate","m2"
1999,122.18,5,"estimate","m2"
2000,25.18,5,"estimate","m2"
2001,65.83,5,"estimate","m2"
2002,37.27,5,"estimate","m2"
2003,55.21,5,"estimate","m2"
2004,35.67,5,"estimate","m2"
2005,53.19,5,"estimate","m2"
2006,13.12,5,"estimate","m2"
2007,37.27,5,"estimate","m2"
2008,16.61,5,"estimate","m2"
2009,51.03,5,"estimate","m2"
2010,23.82,5,"estimate","m2"
2011,58.5,5,"estimate","m2"
2012,22.9,5,"estimate","m2"
2013,69.19,5,"estimate","m2"
2014,28.56,5,"estimate","m2"
2015,56.63,5,"estimate","m2"
2016,22.16,5,"estimate","m2"
2017,42.14,5,"estimate","m2"
2018,13.41,5,"estimate","m2"
