"Year","fitted_values","year_minus","type","model_name"
1998,35.79,9,"estimate","m1"
1999,134.16,9,"estimate","m1"
2000,24.71,9,"estimate","m1"
2001,60.56,9,"estimate","m1"
2002,42.17,9,"estimate","m1"
2003,40.6,9,"estimate","m1"
2004,46.07,9,"estimate","m1"
2005,65.05,9,"estimate","m1"
2006,29.74,9,"estimate","m1"
2007,37.33,9,"estimate","m1"
2008,20.62,9,"estimate","m1"
2009,33.46,9,"estimate","m1"
2010,33.6,9,"estimate","m1"
2011,71.06,9,"estimate","m1"
2012,23.79,9,"estimate","m1"
2013,55.44,9,"estimate","m1"
2014,31.02,9,"estimate","m1"
