"Year","fitted_values","year_minus","type","model_name"
1998,26.84,3,"estimate","m2"
1999,120.76,3,"estimate","m2"
2000,25.63,3,"estimate","m2"
2001,66.29,3,"estimate","m2"
2002,37.42,3,"estimate","m2"
2003,56.43,3,"estimate","m2"
2004,35.58,3,"estimate","m2"
2005,52.91,3,"estimate","m2"
2006,12.88,3,"estimate","m2"
2007,37.67,3,"estimate","m2"
2008,16.79,3,"estimate","m2"
2009,52.54,3,"estimate","m2"
2010,23.79,3,"estimate","m2"
2011,58.13,3,"estimate","m2"
2012,23.27,3,"estimate","m2"
2013,70.15,3,"estimate","m2"
2014,28.85,3,"estimate","m2"
2015,56.6,3,"estimate","m2"
2016,22.01,3,"estimate","m2"
2017,41.11,3,"estimate","m2"
2018,13.7,3,"estimate","m2"
2019,16.89,3,"estimate","m2"
2020,9.66,3,"estimate","m2"
