"Year","fitted_values","year_minus","type","model_name"
1998,27.3,4,"estimate","m2"
1999,118.89,4,"estimate","m2"
2000,25.82,4,"estimate","m2"
2001,65.56,4,"estimate","m2"
2002,37.64,4,"estimate","m2"
2003,55.54,4,"estimate","m2"
2004,35.98,4,"estimate","m2"
2005,53.04,4,"estimate","m2"
2006,13.51,4,"estimate","m2"
2007,37.73,4,"estimate","m2"
2008,17.18,4,"estimate","m2"
2009,51.58,4,"estimate","m2"
2010,24.3,4,"estimate","m2"
2011,58.16,4,"estimate","m2"
2012,23.54,4,"estimate","m2"
2013,68.98,4,"estimate","m2"
2014,29.11,4,"estimate","m2"
2015,56.47,4,"estimate","m2"
2016,22.61,4,"estimate","m2"
2017,41.98,4,"estimate","m2"
2018,14,4,"estimate","m2"
2019,17.28,4,"estimate","m2"
