"Year","fitted_values","year_minus","type","model_name"
1998,27.87,6,"estimate","m2"
1999,107.95,6,"estimate","m2"
2000,27.51,6,"estimate","m2"
2001,64.38,6,"estimate","m2"
2002,38.02,6,"estimate","m2"
2003,56.93,6,"estimate","m2"
2004,35.92,6,"estimate","m2"
2005,51.35,6,"estimate","m2"
2006,13.84,6,"estimate","m2"
2007,38.66,6,"estimate","m2"
2008,18.5,6,"estimate","m2"
2009,53.98,6,"estimate","m2"
2010,24.92,6,"estimate","m2"
2011,55.86,6,"estimate","m2"
2012,25.12,6,"estimate","m2"
2013,68.54,6,"estimate","m2"
2014,30.29,6,"estimate","m2"
2015,55.04,6,"estimate","m2"
2016,23,6,"estimate","m2"
2017,39.5,6,"estimate","m2"
