"Year","fitted_values","year_minus","type","model_name"
1998,26.47,5,"estimate","m19"
1999,113.6,5,"estimate","m19"
2000,23.21,5,"estimate","m19"
2001,63.74,5,"estimate","m19"
2002,38.27,5,"estimate","m19"
2003,51.93,5,"estimate","m19"
2004,38.16,5,"estimate","m19"
2005,56.89,5,"estimate","m19"
2006,12,5,"estimate","m19"
2007,40.49,5,"estimate","m19"
2008,16.64,5,"estimate","m19"
2009,54.32,5,"estimate","m19"
2010,27.48,5,"estimate","m19"
2011,59.52,5,"estimate","m19"
2012,22.07,5,"estimate","m19"
2013,69.08,5,"estimate","m19"
2014,27.18,5,"estimate","m19"
2015,56.31,5,"estimate","m19"
2016,22.39,5,"estimate","m19"
2017,42.67,5,"estimate","m19"
2018,13.54,5,"estimate","m19"
