"Year","fitted_values","year_minus","type","model_name"
1998,33.12,1,"estimate","m1"
1999,124.61,1,"estimate","m1"
2000,22.85,1,"estimate","m1"
2001,56.13,1,"estimate","m1"
2002,39.05,1,"estimate","m1"
2003,37.59,1,"estimate","m1"
2004,42.66,1,"estimate","m1"
2005,60.3,1,"estimate","m1"
2006,27.51,1,"estimate","m1"
2007,34.55,1,"estimate","m1"
2008,19.06,1,"estimate","m1"
2009,30.96,1,"estimate","m1"
2010,31.09,1,"estimate","m1"
2011,65.89,1,"estimate","m1"
2012,22,1,"estimate","m1"
2013,51.37,1,"estimate","m1"
2014,28.69,1,"estimate","m1"
2015,57.81,1,"estimate","m1"
2016,32.7,1,"estimate","m1"
2017,72.91,1,"estimate","m1"
2018,13.48,1,"estimate","m1"
2019,19.06,1,"estimate","m1"
2020,18.82,1,"estimate","m1"
2021,28.79,1,"estimate","m1"
2022,16.83,1,"estimate","m1"
