"Year","fitted_values","year_minus","type","model_name"
1998,27.85,1,"estimate","m2"
1999,118.9,1,"estimate","m2"
2000,27.17,1,"estimate","m2"
2001,67.73,1,"estimate","m2"
2002,38.68,1,"estimate","m2"
2003,58.88,1,"estimate","m2"
2004,36.55,1,"estimate","m2"
2005,53.62,1,"estimate","m2"
2006,13.34,1,"estimate","m2"
2007,39.23,1,"estimate","m2"
2008,17.86,1,"estimate","m2"
2009,55.39,1,"estimate","m2"
2010,24.73,1,"estimate","m2"
2011,58.69,1,"estimate","m2"
2012,24.69,1,"estimate","m2"
2013,72.12,1,"estimate","m2"
2014,30.24,1,"estimate","m2"
2015,57.57,1,"estimate","m2"
2016,22.78,1,"estimate","m2"
2017,41,1,"estimate","m2"
2018,14.82,1,"estimate","m2"
2019,17.97,1,"estimate","m2"
2020,10.18,1,"estimate","m2"
2021,29.46,1,"estimate","m2"
2022,15.93,1,"estimate","m2"
