"Year","fitted_values","year_minus","type","model_name"
1998,35.75,8,"estimate","m19"
1999,103.34,8,"estimate","m19"
2000,24.8,8,"estimate","m19"
2001,54.38,8,"estimate","m19"
2002,40.81,8,"estimate","m19"
2003,48.3,8,"estimate","m19"
2004,38.36,8,"estimate","m19"
2005,55.73,8,"estimate","m19"
2006,12.32,8,"estimate","m19"
2007,38.83,8,"estimate","m19"
2008,18.02,8,"estimate","m19"
2009,55.06,8,"estimate","m19"
2010,30.87,8,"estimate","m19"
2011,59.65,8,"estimate","m19"
2012,24.89,8,"estimate","m19"
2013,72.45,8,"estimate","m19"
2014,31.22,8,"estimate","m19"
2015,58.54,8,"estimate","m19"
