"Year","fitted_values","year_minus","type","model_name"
1998,23.44,1,"estimate","m19"
1999,116.01,1,"estimate","m19"
2000,25.19,1,"estimate","m19"
2001,72.71,1,"estimate","m19"
2002,38.64,1,"estimate","m19"
2003,58,1,"estimate","m19"
2004,39.64,1,"estimate","m19"
2005,57.94,1,"estimate","m19"
2006,13.61,1,"estimate","m19"
2007,43.81,1,"estimate","m19"
2008,18.07,1,"estimate","m19"
2009,56.48,1,"estimate","m19"
2010,26.94,1,"estimate","m19"
2011,59.75,1,"estimate","m19"
2012,22.99,1,"estimate","m19"
2013,68.07,1,"estimate","m19"
2014,27.32,1,"estimate","m19"
2015,55.91,1,"estimate","m19"
2016,20.68,1,"estimate","m19"
2017,38.2,1,"estimate","m19"
2018,13.09,1,"estimate","m19"
2019,21.19,1,"estimate","m19"
2020,10.39,1,"estimate","m19"
2021,32.69,1,"estimate","m19"
2022,16.91,1,"estimate","m19"
