"Year","fitted_values","year_minus","type","model_name"
1998,36.42,10,"estimate","m19"
1999,113.2,10,"estimate","m19"
2000,23.8,10,"estimate","m19"
2001,55.5,10,"estimate","m19"
2002,41.44,10,"estimate","m19"
2003,47.77,10,"estimate","m19"
2004,39.23,10,"estimate","m19"
2005,58.54,10,"estimate","m19"
2006,12.06,10,"estimate","m19"
2007,38.82,10,"estimate","m19"
2008,17.21,10,"estimate","m19"
2009,54.48,10,"estimate","m19"
2010,31.26,10,"estimate","m19"
2011,62.97,10,"estimate","m19"
2012,24.03,10,"estimate","m19"
2013,74.76,10,"estimate","m19"
