"Year","fitted_values","year_minus","type","model_name"
1998,35.22,8,"estimate","m1"
1999,122.74,8,"estimate","m1"
2000,24.82,8,"estimate","m1"
2001,57.89,8,"estimate","m1"
2002,41.13,8,"estimate","m1"
2003,39.68,8,"estimate","m1"
2004,44.71,8,"estimate","m1"
2005,61.94,8,"estimate","m1"
2006,29.57,8,"estimate","m1"
2007,36.65,8,"estimate","m1"
2008,20.92,8,"estimate","m1"
2009,33.05,8,"estimate","m1"
2010,33.18,8,"estimate","m1"
2011,67.34,8,"estimate","m1"
2012,23.95,8,"estimate","m1"
2013,53.26,8,"estimate","m1"
2014,30.77,8,"estimate","m1"
2015,59.53,8,"estimate","m1"
