"Year","fitted_values","year_minus","type","model_name"
1998,21.71,0,"estimate","m19"
1999,108.83,0,"estimate","m19"
2000,24,0,"estimate","m19"
2001,74.37,0,"estimate","m19"
2002,39.53,0,"estimate","m19"
2003,56.56,0,"estimate","m19"
2004,42.98,0,"estimate","m19"
2005,62.08,0,"estimate","m19"
2006,13.61,0,"estimate","m19"
2007,48.71,0,"estimate","m19"
2008,18.79,0,"estimate","m19"
2009,59.35,0,"estimate","m19"
2010,30.53,0,"estimate","m19"
2011,60.64,0,"estimate","m19"
2012,22.41,0,"estimate","m19"
2013,66.11,0,"estimate","m19"
2014,25.91,0,"estimate","m19"
2015,54.99,0,"estimate","m19"
2016,20.16,0,"estimate","m19"
2017,37.02,0,"estimate","m19"
2018,12.84,0,"estimate","m19"
2019,23.48,0,"estimate","m19"
2020,10.65,0,"estimate","m19"
2021,34.42,0,"estimate","m19"
2022,17.46,0,"estimate","m19"
2023,36.81,0,"estimate","m19"
