"Year","fitted_values","year_minus","type","model_name"
1998,28.17,7,"estimate","m2"
1999,111.09,7,"estimate","m2"
2000,27.27,7,"estimate","m2"
2001,64.78,7,"estimate","m2"
2002,38.3,7,"estimate","m2"
2003,56.35,7,"estimate","m2"
2004,36.43,7,"estimate","m2"
2005,52.32,7,"estimate","m2"
2006,14.23,7,"estimate","m2"
2007,38.67,7,"estimate","m2"
2008,18.44,7,"estimate","m2"
2009,53,7,"estimate","m2"
2010,25.21,7,"estimate","m2"
2011,57,7,"estimate","m2"
2012,24.94,7,"estimate","m2"
2013,68.49,7,"estimate","m2"
2014,30.28,7,"estimate","m2"
2015,55.81,7,"estimate","m2"
2016,23.4,7,"estimate","m2"
