"Year","fitted_values","year_minus","type","model_name"
1998,25.04,4,"estimate","m19"
1999,111.8,4,"estimate","m19"
2000,23.95,4,"estimate","m19"
2001,66.66,4,"estimate","m19"
2002,38.4,4,"estimate","m19"
2003,53.36,4,"estimate","m19"
2004,39.14,4,"estimate","m19"
2005,57.38,4,"estimate","m19"
2006,13.11,4,"estimate","m19"
2007,42.07,4,"estimate","m19"
2008,17.52,4,"estimate","m19"
2009,54.25,4,"estimate","m19"
2010,27.78,4,"estimate","m19"
2011,59.28,4,"estimate","m19"
2012,22.46,4,"estimate","m19"
2013,67,4,"estimate","m19"
2014,27.11,4,"estimate","m19"
2015,55.52,4,"estimate","m19"
2016,21.86,4,"estimate","m19"
2017,40.87,4,"estimate","m19"
2018,13.44,4,"estimate","m19"
2019,18.62,4,"estimate","m19"
