"Year","fitted_values","year_minus","type","model_name"
1998,29.32,9,"estimate","m2"
1999,121.32,9,"estimate","m2"
2000,27.3,9,"estimate","m2"
2001,67.34,9,"estimate","m2"
2002,39.71,9,"estimate","m2"
2003,56.6,9,"estimate","m2"
2004,38.28,9,"estimate","m2"
2005,55.66,9,"estimate","m2"
2006,15.23,9,"estimate","m2"
2007,39.53,9,"estimate","m2"
2008,18.61,9,"estimate","m2"
2009,52.33,9,"estimate","m2"
2010,26.26,9,"estimate","m2"
2011,60.86,9,"estimate","m2"
2012,25.03,9,"estimate","m2"
2013,70.21,9,"estimate","m2"
2014,30.86,9,"estimate","m2"
