"Year","fitted_values","year_minus","type","model_name"
1998,28.88,10,"estimate","m2"
1999,122.47,10,"estimate","m2"
2000,26.66,10,"estimate","m2"
2001,66.87,10,"estimate","m2"
2002,39.2,10,"estimate","m2"
2003,55.7,10,"estimate","m2"
2004,37.88,10,"estimate","m2"
2005,55.44,10,"estimate","m2"
2006,15,10,"estimate","m2"
2007,38.9,10,"estimate","m2"
2008,18.13,10,"estimate","m2"
2009,51.27,10,"estimate","m2"
2010,25.84,10,"estimate","m2"
2011,60.72,10,"estimate","m2"
2012,24.42,10,"estimate","m2"
2013,69.55,10,"estimate","m2"
