"Year","fitted_values","year_minus","type","model_name"
1998,38.28,9,"estimate","m19"
1999,113.85,9,"estimate","m19"
2000,24.6,9,"estimate","m19"
2001,55.1,9,"estimate","m19"
2002,41.91,9,"estimate","m19"
2003,48.48,9,"estimate","m19"
2004,38.97,9,"estimate","m19"
2005,57.99,9,"estimate","m19"
2006,12.21,9,"estimate","m19"
2007,38.38,9,"estimate","m19"
2008,17.49,9,"estimate","m19"
2009,54.93,9,"estimate","m19"
2010,31.1,9,"estimate","m19"
2011,63.13,9,"estimate","m19"
2012,24.81,9,"estimate","m19"
2013,76.3,9,"estimate","m19"
2014,31.98,9,"estimate","m19"
