"Year","fitted_values","year_minus","type","model_name"
1998,27.63,2,"estimate","m2"
1999,121.44,2,"estimate","m2"
2000,26.74,2,"estimate","m2"
2001,68,2,"estimate","m2"
2002,38.52,2,"estimate","m2"
2003,58.61,2,"estimate","m2"
2004,36.47,2,"estimate","m2"
2005,53.9,2,"estimate","m2"
2006,13.18,2,"estimate","m2"
2007,38.96,2,"estimate","m2"
2008,17.51,2,"estimate","m2"
2009,54.91,2,"estimate","m2"
2010,24.5,2,"estimate","m2"
2011,59.12,2,"estimate","m2"
2012,24.28,2,"estimate","m2"
2013,72.27,2,"estimate","m2"
2014,29.91,2,"estimate","m2"
2015,57.82,2,"estimate","m2"
2016,22.59,2,"estimate","m2"
2017,41.37,2,"estimate","m2"
2018,14.42,2,"estimate","m2"
2019,17.62,2,"estimate","m2"
2020,9.98,2,"estimate","m2"
2021,29.14,2,"estimate","m2"
