"Year","fitted_values","year_minus","type","model_name"
1998,29.31,0,"estimate","m2"
1999,115.58,0,"estimate","m2"
2000,29.12,0,"estimate","m2"
2001,68.85,0,"estimate","m2"
2002,40.26,0,"estimate","m2"
2003,61.12,0,"estimate","m2"
2004,37.9,0,"estimate","m2"
2005,54.44,0,"estimate","m2"
2006,14.28,0,"estimate","m2"
2007,41.06,0,"estimate","m2"
2008,19.4,0,"estimate","m2"
2009,58.08,0,"estimate","m2"
2010,26.15,0,"estimate","m2"
2011,59.29,0,"estimate","m2"
2012,26.54,0,"estimate","m2"
2013,73.58,0,"estimate","m2"
2014,32.02,0,"estimate","m2"
2015,58.53,0,"estimate","m2"
2016,24.04,0,"estimate","m2"
2017,41.37,0,"estimate","m2"
2018,16.41,0,"estimate","m2"
2019,19.52,0,"estimate","m2"
2020,11.14,0,"estimate","m2"
2021,31.2,0,"estimate","m2"
2022,17.43,0,"estimate","m2"
2023,21.47,0,"estimate","m2"
