"Year","fitted_values","year_minus","type","model_name"
1998,33.12,0,"estimate","m1"
1999,124.61,0,"estimate","m1"
2000,22.85,0,"estimate","m1"
2001,56.13,0,"estimate","m1"
2002,39.04,0,"estimate","m1"
2003,37.59,0,"estimate","m1"
2004,42.66,0,"estimate","m1"
2005,60.3,0,"estimate","m1"
2006,27.51,0,"estimate","m1"
2007,34.55,0,"estimate","m1"
2008,19.05,0,"estimate","m1"
2009,30.96,0,"estimate","m1"
2010,31.09,0,"estimate","m1"
2011,65.89,0,"estimate","m1"
2012,21.99,0,"estimate","m1"
2013,51.37,0,"estimate","m1"
2014,28.69,0,"estimate","m1"
2015,57.81,0,"estimate","m1"
2016,32.7,0,"estimate","m1"
2017,72.91,0,"estimate","m1"
2018,13.48,0,"estimate","m1"
2019,19.05,0,"estimate","m1"
2020,18.82,0,"estimate","m1"
2021,28.78,0,"estimate","m1"
2022,16.83,0,"estimate","m1"
