"model","terms","fit","fit_LPI","fit_UPI"
"m1","CPUE",21.173,11.935,37.56
"m2","CPUE + ISTI20_MJJ",18.943,12.771,28.097
"m3","CPUE + Chatham_SST_May",19.296,12.765,29.169
"m4","CPUE + Chatham_SST_MJJ",16.932,10.607,27.029
"m5","CPUE + Chatham_SST_AMJ",19.614,12.995,29.605
"m6","CPUE + Chatham_SST_AMJJ",17.736,11.46,27.45
"m7","CPUE + Icy_Strait_SST_May",19.345,12.585,29.736
"m8","CPUE + Icy_Strait_SST_MJJ",17.744,11.028,28.548
"m9","CPUE + Icy_Strait_SST_AMJ",19.905,12.812,30.926
"m10","CPUE + Icy_Strait_SST_AMJJ",18.495,11.719,29.188
"m11","CPUE + NSEAK_SST_May",18.604,12.154,28.475
"m12","CPUE + NSEAK_SST_MJJ",15.433,9.662,24.651
"m13","CPUE + NSEAK_SST_AMJ",18.148,11.866,27.755
"m14","CPUE + NSEAK_SST_AMJJ",16.348,10.459,25.552
"m15","CPUE + SEAK_SST_May",18.818,12.088,29.296
"m16","CPUE + SEAK_SST_MJJ",15.938,9.866,25.748
" m17","CPUE + SEAK_SST_AMJ",17.823,11.503,27.614
"m18","CPUE + SEAK_SST_AMJJ",16.586,10.457,26.306
