"Year","fitted_values","year_minus","type","model_name"
1998,26.83,4,"estimate","m2"
1999,122.2,4,"estimate","m2"
2000,25.18,4,"estimate","m2"
2001,65.82,4,"estimate","m2"
2002,37.28,4,"estimate","m2"
2003,55.22,4,"estimate","m2"
2004,35.67,4,"estimate","m2"
2005,53.19,4,"estimate","m2"
2006,13.12,4,"estimate","m2"
2007,37.27,4,"estimate","m2"
2008,16.61,4,"estimate","m2"
2009,51.02,4,"estimate","m2"
2010,23.83,4,"estimate","m2"
2011,58.49,4,"estimate","m2"
2012,22.9,4,"estimate","m2"
2013,69.19,4,"estimate","m2"
2014,28.56,4,"estimate","m2"
2015,56.63,4,"estimate","m2"
2016,22.17,4,"estimate","m2"
2017,42.15,4,"estimate","m2"
2018,13.41,4,"estimate","m2"
