"Year","Fitted values"
1998,32.95
1999,127.43
2000,22.55
2001,56.45
2002,38.97
2003,37.49
2004,42.66
2005,60.74
2006,27.26
2007,34.4
2008,18.74
2009,30.75
2010,30.88
2011,66.49
2012,21.69
2013,51.57
2014,28.46
2015,58.18
2016,32.52
2017,73.73
2018,13.16
2019,18.74
2020,18.5
2021,28.55
