"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",2.97550099056082,2.40020097722203,3.55080100389961,0.113805704014848,23,0.420897143626831,0.621031801933272,0.604554923756458,31.594046958009,32.7369041008662,35.2506744326136,2.9084904265749e-06,0.420897143626831,0.105291702527938,0.115151139644292,0.378483743561944,0.378483743561944,0.16799925749904
"CPUE + ISTI20_MJJ",2.91061396910645,2.51254891081417,3.30867902739872,0.079583713839687,22,0.290581093548023,0.827225214583932,0.811518415909744,13.957462871615,15.957462871615,18.8329661710878,4.09528362439512e-09,0.290581093548023,0.0686297958069605,0.0792153616032841,0.253866539150157,0.253866539150157,0.124990851877343
"CPUE + Chatham_SST_May",2.92477297537308,2.50943891379315,3.34010703695301,0.0827035201681171,22,0.30327811767494,0.811796451987823,0.794687038532171,16.095841654896,18.095841654896,20.9713449543688,1.04931497626317e-08,0.30327811767494,0.0679546996800133,0.0781629201921344,0.252076460887505,0.252076460887505,0.125460637176482
"CPUE + Chatham_SST_MJJ",2.78516244186337,2.31110553706766,3.25921934665908,0.106874927296258,22,0.342510800519514,0.759954153255703,0.738131803551677,22.178488001811,24.178488001811,27.0539913012838,1.52488172145728e-07,0.342510800519514,0.0864890687506675,0.0994412206245367,0.316082838857617,0.316082838857617,0.157216832269073
"CPUE + Chatham_SST_AMJ",2.94161289212485,2.52570036026803,3.35752542398168,0.0824586002666815,22,0.303798489965893,0.811150049058017,0.793981871699655,16.1815594064698,18.1815594064698,21.0570627059426,1.08964652907315e-08,0.303798489965893,0.0725984819699305,0.0824106647104429,0.268434541054821,0.268434541054821,0.124962195103162
"CPUE + Chatham_SST_AMJJ",2.83698126906421,2.39391799088707,3.28004454724135,0.0932556491045436,22,0.322112049173581,0.787695306211498,0.768394879503453,19.1083016140681,21.1083016140681,23.9838049135409,3.94962220382879e-08,0.322112049173581,0.0797852467499021,0.0908576257288547,0.293923263016507,0.293923263016507,0.139533908337133
"CPUE + Icy_Strait_SST_May",2.92371912485905,2.49066239478804,3.35677585493006,0.0863271377589828,22,0.316193452172063,0.795425546821201,0.776827869259492,18.1810392580158,20.1810392580158,23.0565425574886,2.62642733011973e-08,0.316193452172063,0.0656788996045987,0.0762416386225221,0.243607229196415,0.243607229196415,0.132905392018357
"CPUE + Icy_Strait_SST_MJJ",2.82885070938315,2.34755187760158,3.31014954116473,0.103898660032143,22,0.349147929052987,0.750560862933869,0.727884577746039,23.138113317288,25.138113317288,28.0136166167608,2.32600449398685e-07,0.349147929052987,0.0878051922528958,0.10105904773538,0.320629815676081,0.320629815676081,0.158292939978678
"CPUE + Icy_Strait_SST_AMJ",2.94987261004525,2.50433870863431,3.3954065114562,0.0882278091565912,22,0.325463153249676,0.783254888966519,0.763550787963475,19.6257911623368,21.6257911623368,24.5012944618096,4.95955158786035e-08,0.325463153249676,0.074984138298555,0.0859709040396538,0.274757867537927,0.274757867537927,0.138859836778617
"CPUE + Icy_Strait_SST_AMJJ",2.87399076605309,2.41186568093565,3.33611585117053,0.0949875792894584,22,0.336621973581146,0.768137465744377,0.747059053539321,21.3113564541663,23.3113564541663,26.1868597536391,1.04120528123944e-07,0.336621973581146,0.0835974546127345,0.09534117651807,0.30676607191613,0.30676607191613,0.145549607689461
"CPUE + NSEAK_SST_May",2.88575836721982,2.45759082570426,3.31392590873538,0.0867981177633339,22,0.312225367893855,0.80052796119248,0.782394139482706,17.5495914256643,19.5495914256643,22.4250947251371,1.98930920805342e-08,0.312225367893855,0.0675076583553574,0.0778249745275333,0.248317864599699,0.248317864599699,0.129597207459158
"CPUE + NSEAK_SST_MJJ",2.69501448087524,2.21996436971522,3.17006459203526,0.119444823842034,22,0.339129521213334,0.764670242056281,0.743276627697761,21.6824335677191,23.6824335677191,26.5579368671919,1.22587257475644e-07,0.339129521213334,0.0849832918088955,0.0976559815077017,0.310066690411146,0.310066690411146,0.153454995684277
"CPUE + NSEAK_SST_AMJ",2.8619434199542,2.43215094827542,3.29173589163298,0.0884475109221929,22,0.313040335950795,0.799485281658032,0.781256670899671,17.6799309778625,19.6799309778625,22.5554342773353,2.10672972081216e-08,0.313040335950795,0.0715791103070692,0.081288640660414,0.262566551233439,0.262566551233439,0.128216589109884
"CPUE + NSEAK_SST_AMJJ",2.75527034015712,2.30200553274474,3.2085351475695,0.104023399540713,22,0.326909753683084,0.781323853893,0.76144420424691,19.8475359327048,21.8475359327048,24.7230392321776,5.46783656981087e-08,0.326909753683084,0.0800454411508411,0.091151895370385,0.293597930624846,0.293597930624846,0.139955298521127
"CPUE + SEAK_SST_May",2.89330288904205,2.44758687911643,3.33901889896767,0.0901860966657763,22,0.325068998657438,0.78377955265905,0.764123148355327,19.5652015912733,21.5652015912733,24.4407048907461,4.82907974105341e-08,0.325068998657438,0.0743245057337538,0.085247913527316,0.270400284744384,0.270400284744384,0.142318866716581
"CPUE + SEAK_SST_MJJ",2.72426353349189,2.23797869909621,3.21054836788758,0.119534493027052,22,0.348101051310667,0.752054446439407,0.729513941570263,22.9879691710116,24.9879691710116,27.8634724704844,2.17730649864802e-07,0.348101051310667,0.0881636153013085,0.101128128177384,0.320078308851828,0.320078308851828,0.159060922924071
