"Year","fitted_values","year_minus","type","model_name"
1998,27.82,0,"estimate","m2"
1999,119.07,0,"estimate","m2"
2000,27.13,0,"estimate","m2"
2001,67.73,0,"estimate","m2"
2002,38.67,0,"estimate","m2"
2003,58.85,0,"estimate","m2"
2004,36.54,0,"estimate","m2"
2005,53.62,0,"estimate","m2"
2006,13.33,0,"estimate","m2"
2007,39.2,0,"estimate","m2"
2008,17.83,0,"estimate","m2"
2009,55.34,0,"estimate","m2"
2010,24.71,0,"estimate","m2"
2011,58.69,0,"estimate","m2"
2012,24.64,0,"estimate","m2"
2013,72.12,0,"estimate","m2"
2014,30.21,0,"estimate","m2"
2015,57.57,0,"estimate","m2"
2016,22.77,0,"estimate","m2"
2017,41.03,0,"estimate","m2"
2018,14.79,0,"estimate","m2"
2019,17.94,0,"estimate","m2"
2020,10.17,0,"estimate","m2"
2021,29.42,0,"estimate","m2"
2022,15.9,0,"estimate","m2"
