"Year","fitted_values","year_minus","type","model_name"
1998,35.2,9,"estimate","m1"
1999,135.76,9,"estimate","m1"
2000,24.12,9,"estimate","m1"
2001,60.25,9,"estimate","m1"
2002,41.63,9,"estimate","m1"
2003,40.05,9,"estimate","m1"
2004,45.56,9,"estimate","m1"
2005,64.82,9,"estimate","m1"
2006,29.14,9,"estimate","m1"
2007,36.75,9,"estimate","m1"
2008,20.05,9,"estimate","m1"
2009,32.86,9,"estimate","m1"
2010,33.01,9,"estimate","m1"
2011,70.94,9,"estimate","m1"
2012,23.2,9,"estimate","m1"
2013,55.05,9,"estimate","m1"
