"model","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV","MAPE_one_step_ahead","inv_var"
"m1",0.612,32.55,0.372,0.159,0.113,0.18,2.84060171437291
"m2",0.817,15.47,0.246,0.115,0.076,0.131,4.75017109662144
"m3",0.799,17.84,0.246,0.116,0.076,0.117,3.52581408673751
"m4",0.748,23.5,0.308,0.148,0.097,0.158,3.6040111373256
"m5",0.801,17.67,0.262,0.116,0.08,0.12,4.60181304206948
"m6",0.778,20.39,0.286,0.13,0.088,0.137,4.36041740846642
"m7",0.783,19.82,0.236,0.123,0.074,0.125,3.21950691319565
"m8",0.738,24.54,0.314,0.149,0.099,0.16,3.33427063734594
"m9",0.772,21.07,0.266,0.13,0.083,0.131,3.62084961279472
"m10",0.756,22.68,0.299,0.136,0.093,0.142,3.77555443183205
"m11",0.788,19.26,0.241,0.12,0.076,0.115,3.08286755404718
"m12",0.754,22.97,0.302,0.144,0.095,0.148,3.44964655186905
"m13",0.789,19.1,0.256,0.119,0.079,0.116,3.92858819792767
"m14",0.771,21.11,0.286,0.131,0.088,0.129,3.83734307999429
"m15",0.77,21.21,0.263,0.133,0.083,0.13,2.89619774883026
"m16",0.74,24.3,0.312,0.15,0.099,0.156,3.34045663460858
"m17",0.776,20.53,0.271,0.129,0.084,0.127,3.7126308690302
"m18",0.756,22.73,0.299,0.139,0.093,0.14,3.5966959841401
