"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m11",1998,1997,0.279,0.042,0.012,0.914,3.469
"m11",1999,1998,-0.435,0.291,0.375,-1.653,4.789
"m11",2000,1999,-0.316,0.107,0.046,-1.072,3.324
"m11",2001,2000,0.117,0.088,0.005,0.391,4.088
"m11",2002,2001,-0.11,0.105,0.005,-0.372,3.924
"m11",2003,2002,-0.029,0.147,0.001,-0.1,3.989
"m11",2004,2003,0.159,0.047,0.004,0.521,3.655
"m11",2005,2004,0.177,0.094,0.012,0.595,3.903
"m11",2006,2005,-0.387,0.125,0.083,-1.324,2.838
"m11",2007,2006,0.14,0.063,0.005,0.463,3.662
"m11",2008,2007,-0.28,0.111,0.038,-0.951,3.047
"m11",2009,2008,-0.042,0.1,0.001,-0.141,3.68
"m11",2010,2009,-0.227,0.044,0.008,-0.743,3.411
"m11",2011,2010,0.021,0.105,0,0.072,4.054
"m11",2012,2011,-0.004,0.072,0,-0.014,3.062
"m11",2013,2012,0.446,0.098,0.082,1.504,4.105
"m11",2014,2013,-0.001,0.108,0,-0.004,3.617
"m11",2015,2014,-0.194,0.105,0.017,-0.658,3.752
"m11",2016,2015,0.085,0.21,0.008,0.306,2.826
"m11",2017,2016,-0.152,0.256,0.036,-0.563,3.699
"m11",2018,2017,-0.242,0.188,0.057,-0.859,2.33
"m11",2019,2018,0.259,0.094,0.026,0.87,2.793
"m11",2020,2019,-0.336,0.186,0.108,-1.192,2.423
"m11",2021,2020,0.933,0.098,0.358,3.145,2.949
"m11",2022,2021,0.139,0.116,0.01,0.473,2.754
