"Year","fitted_values","year_minus","type","model_name"
1998,31.35,9,"estimate","m11"
1999,132.12,9,"estimate","m11"
2000,27.53,9,"estimate","m11"
2001,62.29,9,"estimate","m11"
2002,53.34,9,"estimate","m11"
2003,58.02,9,"estimate","m11"
2004,38.07,9,"estimate","m11"
2005,49.28,9,"estimate","m11"
2006,14.91,9,"estimate","m11"
2007,39.42,9,"estimate","m11"
2008,20.11,9,"estimate","m11"
2009,40.83,9,"estimate","m11"
2010,29.44,9,"estimate","m11"
2011,58.58,9,"estimate","m11"
2012,20.11,9,"estimate","m11"
2013,64.26,9,"estimate","m11"
