"Year","fitted_values","year_minus","type","model_name"
1998,33.71,10,"estimate","m1"
1999,120.91,10,"estimate","m1"
2000,23.56,10,"estimate","m1"
2001,56.05,10,"estimate","m1"
2002,39.5,10,"estimate","m1"
2003,38.08,10,"estimate","m1"
2004,43.03,10,"estimate","m1"
2005,60.06,10,"estimate","m1"
2006,28.18,10,"estimate","m1"
2007,35.11,10,"estimate","m1"
2008,19.78,10,"estimate","m1"
2009,31.58,10,"estimate","m1"
2010,31.71,10,"estimate","m1"
2011,65.42,10,"estimate","m1"
2012,22.72,10,"estimate","m1"
