"Year","Fitted values"
1998,35.2
1999,135.76
2000,24.12
2001,60.25
2002,41.63
2003,40.05
2004,45.56
2005,64.82
2006,29.14
2007,36.75
2008,20.05
2009,32.86
2010,33.01
2011,70.94
2012,23.2
2013,55.05
