"","MAPE5"
"CPUE",0.560877107989683
"CPUE + ISTI20_MJJ",0.390494845581826
"CPUE + Chatham_SST_May",0.314556398233147
"CPUE + Chatham_SST_MJJ",0.433823132048506
"CPUE + Chatham_SST_AMJ",0.331035256985329
"CPUE + Chatham_SST_AMJJ",0.370179926248918
"CPUE + Icy_Strait_SST_May",0.333601892837329
"CPUE + Icy_Strait_SST_MJJ",0.439629153916387
"CPUE + Icy_Strait_SST_AMJ",0.349338985092207
"CPUE + Icy_Strait_SST_AMJJ",0.381167931629175
"CPUE + NSEAK_SST_May",0.302701281634798
"CPUE + NSEAK_SST_MJJ",0.391273693376421
"CPUE + NSEAK_SST_AMJ",0.309661563635644
"CPUE + NSEAK_SST_AMJJ",0.340244599701204
"CPUE + SEAK_SST_May",0.339070385567916
"CPUE + SEAK_SST_MJJ",0.410626156530837
"CPUE + SEAK_SST_AMJ",0.337506349997033
"CPUE + SEAK_SST_AMJJ",0.366015294134919
