"Year","fitted_values","year_minus","type","model_name"
1998,32.95,1,"estimate","m1"
1999,127.43,1,"estimate","m1"
2000,22.55,1,"estimate","m1"
2001,56.45,1,"estimate","m1"
2002,38.97,1,"estimate","m1"
2003,37.49,1,"estimate","m1"
2004,42.66,1,"estimate","m1"
2005,60.74,1,"estimate","m1"
2006,27.26,1,"estimate","m1"
2007,34.4,1,"estimate","m1"
2008,18.74,1,"estimate","m1"
2009,30.75,1,"estimate","m1"
2010,30.88,1,"estimate","m1"
2011,66.49,1,"estimate","m1"
2012,21.69,1,"estimate","m1"
2013,51.57,1,"estimate","m1"
2014,28.46,1,"estimate","m1"
2015,58.18,1,"estimate","m1"
2016,32.52,1,"estimate","m1"
2017,73.73,1,"estimate","m1"
2018,13.16,1,"estimate","m1"
2019,18.74,1,"estimate","m1"
2020,18.5,1,"estimate","m1"
2021,28.55,1,"estimate","m1"
