"Year","Fitted values"
1998,35.79
1999,134.16
2000,24.71
2001,60.56
2002,42.17
2003,40.6
2004,46.07
2005,65.05
2006,29.74
2007,37.33
2008,20.62
2009,33.46
2010,33.6
2011,71.06
2012,23.79
2013,55.44
2014,31.02
