"Year","Fitted values"
1998,32.84
1999,117.24
2000,22.99
2001,54.51
2002,38.47
2003,37.09
2004,41.88
2005,58.39
2006,27.48
2007,34.2
2008,19.31
2009,30.78
2010,30.91
2011,63.58
2012,22.17
2013,50.06
2014,28.61
2015,56.07
2016,32.45
2017,70.08
2018,13.85
2019,19.31
