"Year","Fitted values"
1998,31.85
1999,126.79
2000,21.62
2001,55.2
2002,37.81
2003,36.34
2004,41.47
2005,59.49
2006,26.24
2007,33.28
2008,17.89
2009,29.68
2010,29.81
2011,65.24
2012,20.78
2013,50.33
2014,27.42
2015,56.92
2016,31.43
2017,72.51
2018,12.47
2019,17.89
2020,17.66
