"Year","Fitted values"
1998,35.22
1999,122.74
2000,24.82
2001,57.89
2002,41.13
2003,39.68
2004,44.71
2005,61.94
2006,29.57
2007,36.65
2008,20.92
2009,33.05
2010,33.18
2011,67.34
2012,23.95
2013,53.26
2014,30.77
2015,59.53
