"Year","fitted_values","year_minus","type","model_name"
1998,32.59,4,"estimate","m1"
1999,119.8,4,"estimate","m1"
2000,22.63,4,"estimate","m1"
2001,54.72,4,"estimate","m1"
2002,38.31,4,"estimate","m1"
2003,36.91,4,"estimate","m1"
2004,41.79,4,"estimate","m1"
2005,58.72,4,"estimate","m1"
2006,27.16,4,"estimate","m1"
2007,33.97,4,"estimate","m1"
2008,18.93,4,"estimate","m1"
2009,30.5,4,"estimate","m1"
2010,30.62,4,"estimate","m1"
2011,64.06,4,"estimate","m1"
2012,21.8,4,"estimate","m1"
2013,50.16,4,"estimate","m1"
2014,28.3,4,"estimate","m1"
2015,56.33,4,"estimate","m1"
2016,32.19,4,"estimate","m1"
2017,70.76,4,"estimate","m1"
2018,13.48,4,"estimate","m1"
