"Year","fitted_values","year_minus","type","model_name"
1998,33.54,1,"estimate","m11"
1999,128.35,1,"estimate","m11"
2000,28.82,1,"estimate","m11"
2001,62.84,1,"estimate","m11"
2002,52.96,1,"estimate","m11"
2003,56.49,1,"estimate","m11"
2004,40.56,1,"estimate","m11"
2005,52.29,1,"estimate","m11"
2006,17.81,1,"estimate","m11"
2007,40.7,1,"estimate","m11"
2008,21.78,1,"estimate","m11"
2009,41.34,1,"estimate","m11"
2010,31.6,1,"estimate","m11"
2011,60.92,1,"estimate","m11"
2012,22.17,1,"estimate","m11"
2013,63.79,1,"estimate","m11"
2014,38.76,1,"estimate","m11"
2015,44.96,1,"estimate","m11"
2016,17.64,1,"estimate","m11"
2017,42.82,1,"estimate","m11"
2018,10.57,1,"estimate","m11"
2019,16.9,1,"estimate","m11"
2020,11.68,1,"estimate","m11"
2021,19.91,1,"estimate","m11"
