"Year","fitted_values","year_minus","type","model_name"
1998,33.71,0,"estimate","m11"
1999,126.17,0,"estimate","m11"
2000,29.17,0,"estimate","m11"
2001,62.62,0,"estimate","m11"
2002,53.11,0,"estimate","m11"
2003,56.7,0,"estimate","m11"
2004,40.59,0,"estimate","m11"
2005,52.02,0,"estimate","m11"
2006,17.94,0,"estimate","m11"
2007,40.89,0,"estimate","m11"
2008,22.1,0,"estimate","m11"
2009,41.62,0,"estimate","m11"
2010,31.8,0,"estimate","m11"
2011,60.52,0,"estimate","m11"
2012,22.43,0,"estimate","m11"
2013,63.67,0,"estimate","m11"
2014,39.07,0,"estimate","m11"
2015,44.75,0,"estimate","m11"
2016,17.72,0,"estimate","m11"
2017,42.44,0,"estimate","m11"
2018,10.79,0,"estimate","m11"
2019,17.14,0,"estimate","m11"
2020,11.84,0,"estimate","m11"
2021,20.04,0,"estimate","m11"
2022,16.48,0,"estimate","m11"
