JYear,Year,SEAK_catch,ISTI20_MJJ,energy_density_June,energy_density_July,May_DV,June_DV,July_DV,zoo_density_May,zoo_density_June,zoo_density_July,CPUE
1997,1998,42.448749,9.275319676,,20.589,0.54,0.42,0.42,1286.7,1189.8,1200.6,2.48
1998,1999,77.818105,9.397513333,,20.357,0.89,0.52,0.3,710.8,392.3,502.6,5.62
1999,2000,20.248977,8.55974875,,20.491,0.59,0.46,0.38,1236.2,801.9,437.6,1.6
2000,2001,67.023653,8.770015222,,20.694,0.89,0.59,0.34,1409.8,1452.4,581.9,3.73
2001,2002,45.315401,9.025532733,,20.44,1.03,0.95,0.39,1963.9,2082.7,1395.1,2.87
2002,2003,52.466735,8.199539167,,20.385,0.7,0.54,0.38,1201.2,1064.9,815.5,2.78
2003,2004,45.309744,9.307691013,,20.283,0.58,1.44,0.58,1818.6,2736,1892.1,3.08
2004,2005,59.121487,9.333084187,,20.528,0.67,1,0.49,2604.3,2606.5,1124.8,3.9
2005,2006,11.6065,10.20637217,21.146,20.673,0.73,0.56,0.42,1533.7,746,625.4,2.04
2006,2007,44.796397,8.75081725,21.343,20.555,1.07,1.04,0.43,2597.5,3120.3,1634.7,2.58
2007,2008,15.908924,8.936006202,,20.26,0.76,0.54,0.51,6832.7,2066.3,1448.9,1.17
2008,2009,38.024357,7.911831676,,20.461,0.9,0.88,0.58,2926.4,2748.7,2352.8,2.32
2009,2010,24.141671,9.356666667,,20.472,1,0.96,0.48,4807.8,3765.4,1507.3,2.33
2010,2011,58.882054,9.353333333,21.136,20.959,1.98,1.16,0.4,2301.7,1815.2,1309.2,4.11
2011,2012,21.277018,8.653333333,,20.667,0.48,0.58,0.49,1876.9,1357,1935.5,1.51
2012,2013,94.719422,8.476666667,,20.592,0.56,0.97,0.36,1537,1553.3,1303.3,3.52
2013,2014,37.1738647,8.834666667,20.924,21.113,1.24,0.48,0.47,1408.6,1025.1,1077.4,2.14
2014,2015,35.092568,9.12,21.092,21.088,0.7,0.43,0.37,1695.8,1478.6,1081.3,3.8
2015,2016,18.3742,9.606666667,21.828,21.918,0.66,0.52,0.31,1115.5,1650.8,907,2.45
2016,2017,34.734366,10.1985,21.61,21.683,0.44,0.48,0.4,874.4,1422,973.9,4.35
2017,2018,8.0677,8.560532917,,21.373,0.9,0.64,0.58,2366,1958.9,1362.3,0.35
2018,2019,21.14191,8.924952083,,21.332,0.7,0.55,0.58,2871.3,2023.8,2364.6,1.17
2019,2020,8.062989,9.91121125,21.439,21.713,0.98,0.58,0.55,1620.6,1339.1,1518.8,1.14
2020,2021,48.528192,8.888253542,21.366,21.139,1.08,0.67,0.43,2126.7,1520.3,1114.5,2.147502256
2021,2022,18.299158,8.885509921,21.587,21.492,1.43,0.77,0.66,3313.2,1228.2,1782,0.875454122
2022,2023,46.772672,8.984388252,21.159,20.983,1.43,0.69,0.1,3733.9,4743.9,590.8,1.448291273
2023,2024,,8.922996859,21.319,20.208,,,,,,,1.218385407
