Year,fitted_values,year_minus,type,model_name,forecast_model,forecast_model_name
2014,30.27781442,10,forecast,m2,2013,CPUE + ISTI20_MJJ
2015,58.81684842,9,forecast,m2,2014,CPUE + ISTI20_MJJ
2016,24.24608389,8,forecast,m2,2015,CPUE + ISTI20_MJJ
2017,41.07497415,7,forecast,m2,2016,CPUE + ISTI20_MJJ
2018,15.62411734,6,forecast,m2,2017,CPUE + ISTI20_MJJ
2019,16.70559072,5,forecast,m2,2018,CPUE + ISTI20_MJJ
2020,10.15654044,4,forecast,m2,2019,CPUE + ISTI20_MJJ
2021,28.1221572,3,forecast,m2,2020,CPUE + ISTI20_MJJ
2022,15.57686528,2,forecast,m2,2021,CPUE + ISTI20_MJJ
2023,19.89147388,1,forecast,m2,2022,CPUE + ISTI20_MJJ
2024,19.983,0,forecast,m2,2023,CPUE + ISTI20_MJJ
2014,30.85970661,10,forecast,m19,2013,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2015,61.96572669,9,forecast,m19,2014,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2016,28.60400844,8,forecast,m19,2015,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2017,45.23283544,7,forecast,m19,2016,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2018,16.80368294,6,forecast,m19,2017,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2019,16.15715623,5,forecast,m19,2018,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2020,10.09804814,4,forecast,m19,2019,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2021,28.54840494,3,forecast,m19,2020,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2022,16.41911672,2,forecast,m19,2021,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2023,28.04415916,1,forecast,m19,2022,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2024,8.912,0,forecast,m19,2023,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2014,29.06621818,10,forecast,m2a,2013,CPUE + ISTI20_MJJ + esc_index_log
2015,61.64528162,9,forecast,m2a,2014,CPUE + ISTI20_MJJ + esc_index_log
2016,24.26363509,8,forecast,m2a,2015,CPUE + ISTI20_MJJ + esc_index_log
2017,41.92623929,7,forecast,m2a,2016,CPUE + ISTI20_MJJ + esc_index_log
2018,15.79956205,6,forecast,m2a,2017,CPUE + ISTI20_MJJ + esc_index_log
2019,16.77609433,5,forecast,m2a,2018,CPUE + ISTI20_MJJ + esc_index_log
2020,10.07505586,4,forecast,m2a,2019,CPUE + ISTI20_MJJ + esc_index_log
2021,27.37922368,3,forecast,m2a,2020,CPUE + ISTI20_MJJ + esc_index_log
2022,15.83170133,2,forecast,m2a,2021,CPUE + ISTI20_MJJ + esc_index_log
2023,19.29588101,1,forecast,m2a,2022,CPUE + ISTI20_MJJ + esc_index_log
2024,19.942,0,forecast,m2a,2023,CPUE + ISTI20_MJJ + esc_index_log
