"Year","ISTI20_MJJ"
1997,9.275
1998,9.398
1999,8.56
2000,8.77
2001,9.026
2002,8.2
2003,9.308
2004,9.333
2005,10.206
2006,8.751
2007,8.936
2008,7.912
2009,9.357
2010,9.353
2011,8.653
2012,8.477
2013,8.835
2014,9.12
2015,9.607
2016,10.199
2017,8.561
2018,8.925
2019,9.911
2020,8.888
2021,8.886
2022,8.984
2023,8.923
