"Juvenile year","zoo_density_June","condition_July"
1997,1190,0.0438
1998,392,-0.0247
1999,802,-0.033
2000,1452,-0.0556
2001,2083,-0.0026
2002,1065,-0.0507
2003,2736,-0.0078
2004,2606,-0.005
2005,746,-0.036
2006,3120,-0.0231
2007,2066,-0.0214
2008,2749,-0.0172
2009,3765,0.0219
2010,1815,-0.0047
2011,1357,-0.0143
2012,1553,-0.0046
2013,1025,-0.0046
2014,1479,-0.0032
2015,1651,0.0343
2016,1422,0.0406
2017,1959,0.0198
2018,2024,-0.0891
2019,1339,-0.028
2020,1520,-0.0749
2021,1228,-0.0739
2022,4744,-0.0696
2023,358,0.1369
