"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",2.94393980474846,2.33182436090615,3.55605524859077,0.128126778790669,24,0.446464041085738,0.560681271463703,0.542376324441357,35.7710796435969,36.861988734506,39.5453692576614,1.0814987318696e-05,0.446464041085738,0.109845563230222,0.119626010697992,0.393267990714915,0.393267990714915,0.19612084921106
"CPUE + ISTI20_MJJ",2.93808662371741,2.47537141935764,3.40080182807718,0.0967439515338465,23,0.337076743937527,0.760016755375521,0.739148647147306,22.0500216698662,23.9547835746281,27.0824078219521,7.44870181598787e-08,0.337076743937527,0.0775973243035041,0.0890279361417949,0.285018768075866,0.285018768075866,0.127054455064278
"CPUE + Chatham_SST_May",2.87875694043029,2.39795611924871,3.35955776161188,0.101723954014298,23,0.349905420088844,0.741402286709674,0.718915529032254,23.9923391068474,25.8971010116093,29.0247252589334,1.75866784219381e-07,0.349905420088844,0.0773423413023674,0.0880127103779788,0.285551186162392,0.285551186162392,0.166482551588888
"CPUE + Chatham_SST_MJJ",2.92887912760513,2.38474215417179,3.47301610103847,0.113880994631037,23,0.396357931431188,0.668183141768845,0.639329501922658,30.4743876988437,32.3791496036056,35.5067738509296,3.09265973323421e-06,0.396357931431188,0.0973527486544485,0.111144478720389,0.352572448675573,0.352572448675573,0.188557516110027
"CPUE + Chatham_SST_AMJ",3.02728625158713,2.54780003272365,3.5067724704506,0.102182343097607,23,0.348733747059325,0.743131237781102,0.720794823675111,23.8179227342162,25.7226846389781,28.8503088863021,1.62809547481913e-07,0.348733747059325,0.0803509581568183,0.0905858655089357,0.295979425245772,0.295979425245771,0.159791403460124
"CPUE + Chatham_SST_AMJJ",2.96481614767945,2.4504073781893,3.4792249171696,0.107711357398985,23,0.37468846670877,0.703473172524499,0.67768823100489,27.550804958618,29.4555668633799,32.5831911107039,8.48664230315764e-07,0.37468846670877,0.090614271509769,0.102654972777566,0.330718034542604,0.330718034542604,0.172846190128574
"CPUE + Icy_Strait_SST_May",2.88409309407561,2.38830356339433,3.37988262475689,0.104805141761468,23,0.360839688346006,0.72498781368773,0.701073710530141,25.5924255662569,27.4971874710188,30.6248117183428,3.56900613673104e-07,0.360839688346006,0.0761869064521656,0.0874874895802926,0.280228122023,0.280228122023,0.176952236427783
"CPUE + Icy_Strait_SST_MJJ",3.0324160269922,2.48468338465419,3.58014866933022,0.118792467527626,23,0.397758594058599,0.6658338275065,0.636775899463586,30.6578230759369,32.5625849806988,35.6902092280228,3.35404256485467e-06,0.397758594058599,0.09757648046358,0.111585570645502,0.353456973875064,0.353456973875064,0.189405778759477
"CPUE + Icy_Strait_SST_AMJ",3.05599757526303,2.55158596351223,3.56040918701383,0.109707385969171,23,0.366206399509481,0.71674655579571,0.692115821517076,26.3601184370885,28.2648803418504,31.3925045891745,5.01204304837936e-07,0.366206399509481,0.0841509106816439,0.095711164754853,0.306691532615365,0.306691532615365,0.173214102350719
"CPUE + Icy_Strait_SST_AMJJ",3.03845750021799,2.51108512095737,3.56582987947862,0.11408418711031,23,0.383060397704795,0.690074114283347,0.663124037264508,28.6998878466337,30.6046497513956,33.7322739987197,1.41079946636969e-06,0.383060397704795,0.093175747327756,0.105700200428054,0.339111235029484,0.339111235029484,0.17689855117944
"CPUE + NSEAK_SST_May",2.89134058460782,2.39493395641282,3.38774721280282,0.104678253247986,23,0.361363460620493,0.724188853343635,0.700205275373516,25.6678507789205,27.5726126836824,30.7002369310064,3.69008065565818e-07,0.361363460620493,0.0778475683535004,0.0887111823932,0.285067833046528,0.285067833046528,0.170890547172184
"CPUE + NSEAK_SST_MJJ",2.91359071599724,2.36164894205267,3.46553248994182,0.115945246750738,23,0.401919042403446,0.658806690423509,0.629137706982074,31.1989042718259,33.1036661765878,36.2312904239118,4.26094398816418e-06,0.401919042403446,0.0973124097297708,0.111390618954568,0.351234492750277,0.351234492750277,0.187645627273859
"CPUE + NSEAK_SST_AMJ",2.99186981295981,2.49100901119262,3.49273061472701,0.105488115883811,23,0.364643372986171,0.719159336240894,0.694738408957494,26.1376992582463,28.0424611630082,31.1700854103323,4.54244726666075e-07,0.364643372986171,0.0809943338124634,0.0914242298631726,0.295387150096255,0.295387150096255,0.168671974329866
"CPUE + NSEAK_SST_AMJJ",2.93384231353953,2.40306679260992,3.46461783446915,0.111011250024653,23,0.386646309789488,0.684244386855468,0.656787377016813,29.1844068865838,31.0891687913457,34.2167930386698,1.74798385264351e-06,0.386646309789488,0.0922919575618376,0.104890516007679,0.334938317552198,0.334938317552198,0.177502700285612
"CPUE + SEAK_SST_May",2.8646942645612,2.35405808076593,3.37533044835647,0.109052360792022,23,0.371321366580025,0.708778643267365,0.683455047029745,27.0813998976136,28.9861618023755,32.1137860496995,6.89552026891041e-07,0.371321366580025,0.0832381705950425,0.0944640298698287,0.301749684541761,0.301749684541761,0.176358622335054
"CPUE + SEAK_SST_MJJ",2.86038953186892,2.30072854336822,3.42005052036962,0.121532777793157,23,0.406375042352438,0.651199261238928,0.620868762216226,31.7722459530671,33.677007857829,36.8046321051531,5.49085601049301e-06,0.406375042352438,0.0994878176945311,0.113616636176596,0.358002679682411,0.358002679682411,0.187095494653162
"CPUE + SEAK_SST_AMJ",2.96624055946655,2.45213866001284,3.48034245892026,0.107670404416583,23,0.374458247254586,0.703837449933901,0.678084184710762,27.5188448317929,29.4236067365548,32.5512309838789,8.36751731750832e-07,0.374458247254586,0.0862661424548054,0.097362366934232,0.312646745312604,0.312646745312604,0.174450478058183
