"","MAPE5"
"CPUE",0.520449682749841
"CPUE + ISTI20_MJJ",0.334211821250116
"CPUE + Chatham_SST_May",0.392082448728506
"CPUE + Chatham_SST_MJJ",0.454561607890561
"CPUE + Chatham_SST_AMJ",0.394145262852543
"CPUE + Chatham_SST_AMJJ",0.420007762280552
"CPUE + Icy_Strait_SST_May",0.40656464540383
"CPUE + Icy_Strait_SST_MJJ",0.44843618922352
"CPUE + Icy_Strait_SST_AMJ",0.418717646529681
"CPUE + Icy_Strait_SST_AMJJ",0.423180023907375
"CPUE + NSEAK_SST_May",0.39874803958727
"CPUE + NSEAK_SST_MJJ",0.441857534774888
"CPUE + NSEAK_SST_AMJ",0.401998167137514
"CPUE + NSEAK_SST_AMJJ",0.420093668241623
"CPUE + SEAK_SST_May",0.422782678379824
"CPUE + SEAK_SST_MJJ",0.454525341535622
"CPUE + SEAK_SST_AMJ",0.420264641958563
"CPUE + SEAK_SST_AMJJ",0.437972817755816
"CPUE + ISTI20_MJJ + zoo_density_June + condition_July",0.294102983912844
"CPUE + esc_index_log",0.474447076985457
"CPUE + ISTI20_MJJ + esc_index_log",0.334806820752608
"CPUE + Chatham_SST_May + esc_index_log",0.369688232747541
"CPUE + Chatham_SST_MJJ + esc_index_log ",0.427872588049897
"CPUE + Chatham_SST_AMJ + esc_index_log",0.382201787658869
"CPUE + Chatham_SST_AMJJ + esc_index_log",0.402299363344616
"CPUE + Icy_Strait_SST_May + esc_index_log",0.384653571764703
"CPUE + Icy_Strait_SST_MJJ + esc_index_log",0.417730667182896
"CPUE + Icy_Strait_SST_AMJ + esc_index_log",0.405248346579287
"CPUE + Icy_Strait_SST_AMJJ + esc_index_log",0.400772023093242
"CPUE + NSEAK_SST_May + esc_index_log",0.376868144198646
"CPUE + NSEAK_SST_MJJ + esc_index_log",0.42115656477087
"CPUE + NSEAK_SST_AMJ + esc_index_log",0.391002115508581
"CPUE + NSEAK_SST_AMJJ + esc_index_log",0.404782253092225
"CPUE + SEAK_SST_May + esc_index_log",0.40164692272407
"CPUE + SEAK_SST_MJJ + esc_index_log",0.433546877357631
"CPUE + SEAK_SST_AMJ + esc_index_log",0.408455208214245
"CPUE + SEAK_SST_AMJJ + esc_index_log",0.421971614315814
