"","MAPE10"
"CPUE",0.603103648671377
"CPUE + ISTI20_MJJ",0.379820499016861
"CPUE + Chatham_SST_May",0.277633078317406
"CPUE + Chatham_SST_MJJ",0.40035586205758
"CPUE + Chatham_SST_AMJ",0.30936805925815
"CPUE + Chatham_SST_AMJJ",0.343632171794918
"CPUE + Icy_Strait_SST_May",0.268119935472475
"CPUE + Icy_Strait_SST_MJJ",0.398515491645005
"CPUE + Icy_Strait_SST_AMJ",0.320945212723783
"CPUE + Icy_Strait_SST_AMJJ",0.359223331927843
"CPUE + NSEAK_SST_May",0.265353204140594
"CPUE + NSEAK_SST_MJJ",0.356556245459852
"CPUE + NSEAK_SST_AMJ",0.314032126459077
"CPUE + NSEAK_SST_AMJJ",0.322232999536276
"CPUE + SEAK_SST_May",0.312609262514153
"CPUE + SEAK_SST_MJJ",0.378621571976971
"CPUE + SEAK_SST_AMJ",0.337674646901377
"CPUE + SEAK_SST_AMJJ",0.342787203634639
"CPUE + ISTI20_MJJ + zoo_density_June + condition_July",0.416244004451285
"CPUE + esc_index_log",0.592549946065238
"CPUE + ISTI20_MJJ + esc_index_log",0.394550359925609
"CPUE + Chatham_SST_May + esc_index_log",0.282823980496636
"CPUE + Chatham_SST_MJJ + esc_index_log ",0.402303045592381
"CPUE + Chatham_SST_AMJ + esc_index_log",0.340194606811145
"CPUE + Chatham_SST_AMJJ + esc_index_log",0.363833265916458
"CPUE + Icy_Strait_SST_May + esc_index_log",0.279881068037533
"CPUE + Icy_Strait_SST_MJJ + esc_index_log",0.410870921152541
"CPUE + Icy_Strait_SST_AMJ + esc_index_log",0.353680044778594
"CPUE + Icy_Strait_SST_AMJJ + esc_index_log",0.393473193081825
"CPUE + NSEAK_SST_May + esc_index_log",0.270323450379612
"CPUE + NSEAK_SST_MJJ + esc_index_log",0.362316456119177
"CPUE + NSEAK_SST_AMJ + esc_index_log",0.345912827688156
"CPUE + NSEAK_SST_AMJJ + esc_index_log",0.360405936946642
"CPUE + SEAK_SST_May + esc_index_log",0.319371952329096
"CPUE + SEAK_SST_MJJ + esc_index_log",0.383063838397187
"CPUE + SEAK_SST_AMJ + esc_index_log",0.368168835400209
"CPUE + SEAK_SST_AMJJ + esc_index_log",0.365967653640119
