"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.264,0.206,11.014,0
"m1","CPUE",0.464,0.073,6.349,0
"m2","(Intercept)",6.635,0.993,6.679,0
"m2","CPUE",0.519,0.055,9.526,0
"m2","ISTI",-0.496,0.111,-4.451,0
"m3","(Intercept)",4.162,2.714,1.534,0.142
"m3","CPUE",1.51,1.013,1.491,0.152
"m3","ISTI",-0.226,0.298,-0.759,0.457
" m3","CPUE:ISTI",-0.108,0.11,-0.979,0.34
